time,mag,latitude,longitude,depth,,
2009-10-07T22:18:51.240Z,7.8,-12.517,166.382,35,,
2009-10-07T22:03:14.470Z,7.7,-13.006,166.51,45,,
2009-09-30T10:16:09.250Z,7.6,-0.72,99.867,81,,
2009-09-29T17:48:10.990Z,8.1,-15.489,-172.095,18,,
2009-09-02T07:55:01.050Z,7,-7.782,107.297,46,,
2009-08-10T19:55:38.730Z,7.5,14.099,92.902,24,,
2009-08-09T10:55:55.110Z,7.1,33.167,137.944,292,,
2009-07-15T09:22:29.030Z,7.8,-45.762,166.562,12,,
2009-05-28T08:24:46.560Z,7.3,16.731,-86.217,19,,
2009-03-19T18:17:40.470Z,7.6,-23.043,-174.66,31,,
2009-02-18T21:53:45.160Z,7,-27.424,-176.33,25,,
2009-02-11T17:34:50.490Z,7.2,3.886,126.387,20,,
2009-01-15T17:49:39.070Z,7.4,46.857,155.154,36,,
2009-01-03T22:33:40.290Z,7.4,-0.691,133.305,23,,
2009-01-03T19:43:50.650Z,7.7,-0.414,132.885,17,,
2008-11-24T09:02:58.760Z,7.3,54.203,154.322,492.3,,
2008-11-16T17:02:32.700Z,7.4,1.271,122.091,30,,
2008-09-29T15:19:31.590Z,7,-29.756,-177.683,36,,
2008-07-19T02:39:28.700Z,7,37.552,142.214,22,,
2008-07-05T02:12:04.480Z,7.7,53.882,152.886,632.8,,
2008-06-30T06:17:43.020Z,7,-58.227,-22.099,8,,
2008-05-12T06:28:01.570Z,7.9,31.002,103.322,19,,
2008-04-12T00:30:12.600Z,7.1,-55.664,158.453,16,,
2008-04-09T12:46:12.720Z,7.3,-20.071,168.892,33,,
2008-03-20T22:32:57.930Z,7.2,35.49,81.467,10,,
2008-02-25T08:36:33.030Z,7.2,-2.486,99.972,25,,
2008-02-20T08:08:30.520Z,7.4,2.768,95.964,26,,
2007-12-19T09:30:27.930Z,7.2,51.36,-179.509,34,,
2007-12-09T07:28:20.820Z,7.8,-25.996,-177.514,152.5,,
2007-11-29T19:00:20.420Z,7.4,14.944,-61.274,156,,
2007-11-14T15:40:50.530Z,7.7,-22.247,-69.89,40,,
2007-10-31T03:30:15.960Z,7.2,18.9,145.388,207,,
2007-09-30T05:23:34.070Z,7.4,-49.271,164.115,10,,
2007-09-28T13:38:57.880Z,7.5,22.013,142.668,260,,
2007-09-13T03:35:28.720Z,7,-2.13,99.627,22,,
2007-09-12T23:49:03.720Z,7.9,-2.625,100.841,35,,
2007-09-12T11:10:26.830Z,8.4,-4.438,101.367,34,,
2007-09-02T01:05:18.150Z,7.2,-11.61,165.762,35,,
2007-08-15T23:40:57.890Z,8,-13.386,-76.603,39,,
2007-08-08T17:05:04.920Z,7.5,-5.859,107.419,280,,
2007-08-01T17:08:51.400Z,7.2,-15.595,167.68,120,,
2007-04-01T20:39:58.710Z,8.1,-8.466,157.043,24,,
2007-03-25T00:40:01.610Z,7.1,-20.617,169.357,34,,
2007-01-21T11:27:45.060Z,7.5,1.065,126.282,22,,
2007-01-13T04:23:21.160Z,8.1,46.243,154.524,10,,
2006-12-26T12:26:21.140Z,7.1,21.799,120.547,10,,
2006-11-15T11:14:13.570Z,8.3,46.592,153.266,10,,
2006-08-20T03:41:48.040Z,7,-61.029,-34.371,13,,
2006-07-17T08:19:26.680Z,7.7,-9.284,107.419,20,,
2006-05-16T10:39:23.340Z,7.4,-31.81,-179.307,152,,
2006-05-03T15:26:40.290Z,8,-20.187,-174.123,55,,
2006-04-20T23:25:02.150Z,7.6,60.949,167.089,22,,
2006-02-22T22:19:07.800Z,7,-21.324,33.583,11,,
2006-01-27T16:58:53.670Z,7.6,-5.473,128.131,397,,
2006-01-02T22:13:40.490Z,7.2,-19.926,-178.178,582.9,,
2006-01-02T06:10:49.760Z,7.4,-60.957,-21.606,13,,
2005-11-14T21:38:51.420Z,7,38.107,144.896,11,,
2005-10-08T03:50:40.800Z,7.6,34.539,73.588,26,,
2005-09-26T01:55:37.670Z,7.5,-5.678,-76.398,115,,
2005-09-09T07:26:43.730Z,7.6,-4.539,153.474,90,,
2005-08-16T02:46:28.400Z,7.2,38.276,142.039,36,,
2005-07-24T15:42:06.210Z,7.2,7.92,92.19,16,,
2005-06-15T02:50:54.190Z,7.2,41.292,-125.953,16,,
2005-06-13T22:44:33.900Z,7.8,-19.987,-69.197,115.6,,
2005-03-28T16:09:36.530Z,8.6,2.085,97.108,30,,
2005-03-02T10:42:12.230Z,7.1,-6.527,129.933,201.7,,
2005-02-05T12:23:18.940Z,7.1,5.293,123.337,525,,
2004-12-26T04:21:29.810Z,7.2,6.91,92.958,39.2,,
2004-12-26T00:58:53.450Z,9.1,3.295,95.982,30,,
2004-12-23T14:59:04.410Z,8.1,-49.312,161.345,10,,
2004-11-28T18:32:14.130Z,7,43.006,145.119,39,,
2004-11-26T02:25:03.310Z,7.1,-3.609,135.404,10,,
2004-11-22T20:26:23.900Z,7.1,-46.676,164.721,10,,
2004-11-15T09:06:56.560Z,7.2,4.695,-77.508,15,,
2004-11-11T21:26:41.150Z,7.5,-8.152,124.868,10,,
2004-10-09T21:26:53.690Z,7,11.422,-86.665,35,,
2004-09-05T14:57:18.610Z,7.4,33.184,137.071,10,,
2004-09-05T10:07:07.820Z,7.2,33.07,136.618,14,,
2004-07-25T14:35:19.060Z,7.3,-2.427,103.981,582.1,,
2004-07-15T04:27:14.730Z,7.1,-17.656,-178.76,565.5,,
2004-02-07T02:42:35.210Z,7.3,-4.003,135.023,10,,
2004-02-05T21:05:02.840Z,7,-3.615,135.538,16.6,,
2004-01-03T16:23:21.020Z,7.1,-22.253,169.683,22,,
2003-12-27T16:00:59.450Z,7.3,-22.015,169.766,10,,
2003-11-17T06:43:06.800Z,7.8,51.146,178.65,33,,
2003-10-31T01:06:28.280Z,7,37.812,142.619,10,,
2003-09-27T11:33:25.080Z,7.3,50.038,87.813,16,,
2003-09-25T21:08:00.030Z,7.4,41.774,143.593,33,,
2003-09-25T19:50:06.360Z,8.16,41.815,143.91,27,,
2003-08-21T12:12:49.790Z,7.2,-45.104,167.144,28,,
2003-08-04T04:37:20.130Z,7.6,-60.532,-43.411,10,,
2003-07-15T20:27:50.530Z,7.6,-2.598,68.382,10,,
2003-06-20T06:19:38.910Z,7.1,-7.606,-71.722,558.1,,
2003-05-26T19:23:27.940Z,7,2.354,128.855,31,,
2003-05-26T09:24:33.400Z,7,38.849,141.568,68,,
2003-03-17T16:36:17.310Z,7.1,51.272,177.978,33,,
2003-03-17T16:36:09.856Z,7,50.3298,177.5472,5,,
2003-01-22T02:06:34.610Z,7.6,18.77,-104.104,24,,
2003-01-20T08:43:06.070Z,7.3,-10.491,160.77,33,,
2002-11-17T04:53:53.540Z,7.3,47.824,146.209,459.1,,
2002-11-03T22:12:41.518Z,7.9,63.5141,-147.4529,4.2,,
2002-11-02T01:26:10.700Z,7.4,2.824,96.085,30,,
2002-10-10T10:50:20.570Z,7.6,-1.757,134.297,10,,
2002-09-08T18:44:23.710Z,7.6,-3.302,142.945,13,,
2002-08-19T11:08:24.310Z,7.7,-23.884,178.495,675.4,,
2002-08-19T11:01:01.190Z,7.7,-21.696,-179.513,580,,
2002-06-28T17:19:30.270Z,7.3,43.752,130.666,566,,
2002-04-26T16:06:07.000Z,7.1,13.088,144.619,85.7,,
2002-03-31T06:52:50.490Z,7.1,24.279,122.179,32.8,,
2002-03-05T21:16:09.130Z,7.5,6.033,124.249,31,,
2002-03-03T12:08:19.740Z,7.4,36.502,70.482,225.6,,
2002-01-02T17:22:48.760Z,7.2,-17.6,167.856,21,,
2001-12-12T14:02:35.040Z,7.1,-42.813,124.688,10,,
2001-11-14T09:26:10.010Z,7.8,35.946,90.541,10,,
2001-10-31T09:10:20.000Z,7,-5.912,150.196,33,,
2001-10-19T03:28:44.460Z,7.5,-4.102,123.907,33,,
2001-10-12T15:02:16.840Z,7,12.686,144.98,37,,
2001-08-21T06:52:06.250Z,7.1,-36.813,-179.575,33,,
2001-07-07T09:38:43.520Z,7.6,-17.543,-72.077,33,,
2001-06-23T20:33:14.130Z,8.4,-16.265,-73.641,33,,
2001-06-03T02:41:57.160Z,7.2,-29.666,-178.633,178.1,,
2001-02-24T07:23:48.730Z,7.1,1.271,126.249,35,,
2001-02-13T19:28:30.260Z,7.4,-4.68,102.562,36,,
2001-01-26T03:16:40.500Z,7.7,23.419,70.232,16,,
2001-01-13T17:33:32.380Z,7.7,13.049,-88.66,60,,
2001-01-10T16:02:44.230Z,7,57.078,-153.211,33,,
2001-01-09T16:49:28.000Z,7.1,-14.928,167.17,103,,
2001-01-01T06:57:04.170Z,7.5,6.898,126.579,33,,
2000-12-06T17:11:06.400Z,7,39.566,54.799,30,,
2000-11-17T21:01:56.490Z,7.8,-5.496,151.781,33,,
2000-11-16T07:42:16.930Z,7.8,-5.233,153.102,30,,
2000-11-16T04:54:56.740Z,8,-3.98,152.169,33,,
2000-10-29T08:37:08.770Z,7,-4.766,153.945,50,,
2000-10-04T16:58:44.310Z,7,-15.421,166.91,23,,
2000-08-06T07:27:12.900Z,7.4,28.856,139.556,394.8,,
2000-06-18T14:44:13.310Z,7.9,-13.802,97.453,10,,
2000-06-04T16:28:26.170Z,7.9,-4.721,102.087,33,,
2000-05-12T18:43:18.120Z,7.2,-23.548,-66.452,225,,
2000-05-04T04:21:16.210Z,7.6,-1.105,123.573,26,,
2000-04-23T09:27:23.320Z,7,-28.307,-62.99,608.5,,
2000-03-28T11:00:22.510Z,7.6,22.338,143.73,126.5,,
2000-02-25T01:43:58.640Z,7.1,-19.528,173.818,33,,
2000-01-08T16:47:20.580Z,7.2,-16.925,-174.248,183.4,,
1999-12-11T18:03:36.450Z,7.3,15.766,119.74,33,,
1999-12-06T23:12:33.920Z,7,57.413,-154.489,66,,
1999-11-26T13:21:15.570Z,7.5,-16.423,168.214,33,,
1999-11-19T13:56:46.450Z,7,-6.351,148.763,33,,
1999-11-15T05:42:43.220Z,7,-1.339,88.976,10,,
1999-11-12T16:57:19.550Z,7.2,40.758,31.161,10,,
1999-10-16T09:46:44.460Z,7.1,34.6033333,-116.265,13.73,,
1999-09-30T16:31:15.690Z,7.5,16.059,-96.931,60.6,,
1999-09-20T17:47:18.490Z,7.7,23.772,120.982,33,,
1999-08-17T00:01:39.130Z,7.6,40.748,29.864,17,,
1999-06-15T20:42:05.930Z,7,18.386,-97.436,70,,
1999-05-16T00:51:20.460Z,7.1,-4.751,152.486,73.7,,
1999-05-10T20:33:02.090Z,7.1,-5.159,150.88,138,,
1999-04-08T13:10:34.080Z,7.1,43.607,130.35,565.7,,
1999-04-05T11:08:04.000Z,7.4,-5.591,149.568,150,,
1999-03-04T08:52:01.900Z,7.1,5.397,121.937,33,,
1999-02-06T21:47:59.470Z,7.3,-12.853,166.697,90.1,,
1999-01-19T03:35:33.840Z,7,-4.596,153.235,114.1,,
1998-11-29T14:10:31.960Z,7.7,-2.071,124.891,33,,
1998-11-09T05:38:44.220Z,7,-6.92,128.946,33,,
1998-08-20T06:40:55.820Z,7.1,28.932,139.329,440.5,,
1998-08-04T18:59:20.100Z,7.2,-0.593,-80.393,33,,
1998-07-17T08:49:13.280Z,7,-2.961,141.926,10,,
1998-07-16T11:56:36.420Z,7,-11.04,166.16,110.2,,
1998-05-03T23:30:21.910Z,7.5,22.306,125.308,33,,
1998-04-01T17:56:23.360Z,7,-0.544,99.261,55.7,,
1998-03-29T19:48:16.210Z,7.2,-17.552,-179.092,537.2,,
1998-03-25T03:12:25.070Z,8.1,-62.877,149.527,10,,
1998-01-30T12:16:08.690Z,7.1,-23.913,-70.207,42,,
1998-01-04T06:11:58.970Z,7.5,-22.301,170.911,100.6,,
1997-12-22T02:05:50.080Z,7.2,-5.495,147.867,179.3,,
1997-12-05T11:26:54.690Z,7.8,54.841,162.035,33,,
1997-11-25T12:14:33.630Z,7,1.241,122.536,24,,
1997-11-15T18:59:24.300Z,7,-15.145,167.375,123.1,,
1997-11-08T10:02:52.610Z,7.5,35.069,87.325,33,,
1997-10-28T06:15:17.330Z,7.2,-4.368,-76.681,112,,
1997-10-15T01:03:33.460Z,7.1,-30.933,-71.22,58,,
1997-10-14T09:53:18.150Z,7.8,-22.101,-176.772,167.3,,
1997-09-20T16:11:32.150Z,7,-28.683,-177.624,30,,
1997-07-09T19:24:13.170Z,7,10.598,-63.486,19.9,,
1997-05-25T23:22:33.190Z,7.1,-32.115,179.791,332.7,,
1997-05-10T07:57:29.720Z,7.3,33.825,59.809,10,,
1997-04-21T12:02:26.430Z,7.7,-12.584,166.676,33,,
1997-02-27T21:08:02.360Z,7.1,29.976,68.208,33,,
1997-01-23T02:15:22.970Z,7.1,-21.999,-65.719,276.2,,
1997-01-11T20:28:26.020Z,7.2,18.219,-102.756,33,,
1996-11-12T16:59:44.030Z,7.7,-14.993,-75.675,33,,
1996-08-05T22:38:22.090Z,7.4,-20.69,-178.31,550.2,,
1996-07-22T14:19:35.770Z,7,1,120.45,33,,
1996-06-17T11:22:18.540Z,7.9,-7.137,122.589,587.3,,
1996-06-11T18:22:55.730Z,7.1,12.614,125.154,33,,
1996-06-10T15:24:56.000Z,7.3,51.478,-176.847,26.3,,
1996-06-10T04:03:35.480Z,7.9,51.564,-177.632,33,,
1996-06-02T02:52:09.550Z,7,10.797,-42.254,10,,
1996-04-29T14:40:41.090Z,7.2,-6.518,154.999,44,,
1996-04-16T00:30:54.670Z,7.2,-24.061,-177.036,110.9,,
1996-02-25T03:08:15.870Z,7.1,15.978,-98.07,21.1,,
1996-02-21T12:51:01.300Z,7.5,-9.593,-79.587,10,,
