year,runup,latitude,longitude
2004,12.2,5.527,95.276
2004,12.4,5.553,95.298
2004,12.4,5.578,95.329
2004,12.4,5.577,95.329
2004,12.6,5.556,95.293
2004,12.7,5.551,95.301
2004,12.7,5.532,95.289
2004,12.8,5.543,95.247
2004,13,5.555,95.306
2004,23.5,5.486,95.228
2004,24.1,5.465,95.242
2004,13,5.473,95.255
2004,24.5,5.445,95.243
2004,13.4,5.61,95.397
2004,24.8,5.46,95.246
2004,13.5,5.489,95.233
2004,25.2,5.314,95.24
2004,13.7,5.54,95.298
2004,7.68,5.547,95.278
2004,7.78,5.536,95.283
2004,7,2.83004,95.76647
2004,7.12,5.604,95.346
2004,13.9,2.83054,95.76745
2004,6.58,5.583,95.35
2004,7.8,2.82765,95.74719
2004,3,2.8258,95.74737
2004,12.42,5.477,95.245
2004,9.9,2.82358,95.75631
2004,27.86,5.443,95.242
2004,4,9.98,76.28
1883,1,8.567,81.233
2004,20.13,5.405,95.254
1883,1.3,-12,96.83
1907,0,5.5,95.3
1883,0.33,11.18,75.82
2004,13.8,5.534,95.292
1907,0,2.86,95.59
1883,0.6,10.77,79.83
2004,14,5.539,95.256
2004,3,8.88,76.6
2010,0.17,0.565796,97.820721
2004,14.4,5.502,95.229
1881,1.22,10.77,79.83
2004,6.43,5.549,95.306
2004,14.8,5.479,95.243
2004,14.8,5.539,95.257
2004,17.04,5.414,95.249
2004,4,8.88,76.6
2004,5.87,5.551,95.307
2004,14.8,5.65,95.42
2004,14.9,5.611,95.389
2004,15,5.593,95.336
2004,0.91,8.75,78.2
2004,6.78,5.55,95.308
2004,15.4,5.507,95.26
1861,0,1.2667,97.5667
1843,0,1.267,97.5667
2004,12.19,5.559,95.284
2004,15.5,5.556,95.285
2004,16.1,5.555,95.286
2004,16.2,5.61,95.397
2004,4.82,5.384,95.968
2004,6.21,5.549,95.311
2004,16.6,5.611,95.39
2004,3,9.49,76.33
2005,4,0.95,97.42
2004,16.7,5.479,95.245
2004,4.4,5.389,95.96
2004,5.04,5.542,95.285
2004,16.7,5.479,95.242
2004,16.8,5.479,95.242
2004,16.9,5.479,95.241
2004,5.1,5.596,95.526
2004,6.87,5.541,95.287
2004,16.9,5.478,95.241
2004,17,5.478,95.248
2004,0,9.167,92.783
2004,4,9.49,76.33
2004,5.92,5.595,95.527
2010,0.01,8.905,88.54
2004,0,7,93.833
2004,2.4,8.078,77.541
2004,6.71,5.588,95.525
900,0,10.767,79.833
2004,17.2,5.478,95.246
1967,0,5.39,95.91
2004,17.5,5.479,95.242
2004,3.02,5.826,95.347
2004,17.8,5.547,95.239
2005,1.5,2.26663,97.80968
2004,18.4,5.478,95.241
2004,10,8.078,77.541
2004,7.23,5.584,95.352
2005,2,2.09437,96.61618
2004,18.7,5.553,95.234
2004,3.15,5.882,95.324
2004,4.55,6.11065,80.12357
2004,4.1,6.064,80.174
2004,5.92,5.595,95.527
2005,4.2,2.39127,96.33382
2004,5.1,5.596,95.526
2004,6.2,5.839,95.299
2005,2.6,2.39127,96.33382
2004,4.82,5.384,95.968
2004,12,5.556,95.284
2004,0,6.07736,80.06159
2005,1,2.82444,95.75753
2004,2.11,6.074,80.178
2004,4.25,5.385,95.966
2004,20.8,5.429,95.236
2005,1,4.68754,95.53168
2004,12.2,5.559,95.284
2004,29.98,5.44,95.241
2005,3.5,0.57483,97.72488
2004,9,5.537,95.291
2004,0,6.60845,79.948
2005,3.3,0.57605,97.72959
2004,1.6,7.281,79.841
2005,2.2,0.58167,97.73746
2004,2,7.238,79.841
2004,8,5.65125,95.4231
2005,3.3,0.58285,97.73726
2004,21.57,5.42,95.248
2004,5,5.589153,95.36097
2004,20.08,5.415,95.25
2005,2.5,0.58298,97.73723
2005,2,0.5842,97.73723
2004,24.86,5.418,95.248
2004,9,5.5558,95.2843
2004,1.75,6.088,80.183
2004,2.68,5.936,80.526
2004,0,8.17,77.24
2004,5.82,5.943,80.55
2004,5.54,5.963,80.693
2004,8.8,5.583,95.351
2005,2,1.48433,97.34718
2004,8.8,5.48,95.267
2004,3.09,6.031,80.799
2004,3.22,1.835,73.505
2005,1.8,1.48436,97.34708
2004,8.8,5.548,95.305
2004,4.43,1.835,73.505
2004,10.87,6.124,81.127
2004,3.25,8.463147,81.26444
2005,3.4,0.90544,97.26982
2004,8.9,5.49,95.264
2004,1.93,1.836,73.503
2005,0.5,1.70486,97.44499
2004,2.7,7.744343,81.69267
1929,0,4.633,95.567
2004,3.03,1.849,73.511
2005,0.9,1.70533,97.44478
2004,1.73,1.941,73.54
2010,0.11,0.565796,97.820721
2004,2.75,1.942,73.54
2010,0.11,4.18,73.52
2004,3.7,7.68633,81.74025
2005,3.5,2.09046,97.09753
2005,3.5,2.09046,97.09753
2004,2.6,1.942,73.542
2004,7.38,6.131,81.129
2010,0.09,6.933,79.85
2004,4.85,7.364405,81.85432
2004,9.26,6.235,81.337
2010,0.07,8.567,81.233
2004,4.5,7.343535,81.86083
2004,3,5.994,80.309
2004,9,5.489,95.265
2004,6,5.984,80.332
2004,9,5.521,95.271
2004,9,5.605,95.389
2004,3,5.974,80.361
2004,5.5,5.941,80.494
2004,9,5.607,95.396
2004,9,5.614,95.399
2004,9.1,5.596,95.373
2004,9.2,5.559,95.309
2004,9.2,5.487,95.269
2004,9.3,5.553,95.304
2004,9.3,5.597,95.385
2004,9.4,5.532,95.274
2004,9.4,5.578,95.344
2004,9.5,5.578,95.343
2004,9.5,5.547,95.301
2004,9.5,5.56,95.317
2004,4.1,8.706572,81.18847
2004,6,6.866667,81.81667
2004,6.1,6.866667,81.81667
2004,4.65,8.660616,81.21794
2004,4.5,8.660272,81.21918
2004,4.45,8.661204,81.21674
2004,3.8,8.661829,81.2165
2004,3.35,8.790385,81.12103
2004,5.5,8.013957,81.48953
2004,6.2,7.405348,81.84164
2004,7,7.422988,81.83044
2004,3.56,6.76245,79.88353
2004,4.55,6.749667,79.88879
2004,3.61,6.673167,79.9211
2004,11,6.12845,81.12752
2004,7.5,5.931,80.583
2004,6.1,6.12845,81.12752
2004,7.5,6.03,80.798
2004,7,6.03,80.798
2004,8.71,6.09375,80.98835
2004,10,6.118,81.098
2004,3.24,6.029367,80.79562
2004,11,6.125,81.126
2004,7.9,6.01163,80.47717
2004,9,6.875,81.844
2004,6.8,8.378,98.255
2004,6.3,8.436,98.238
2004,5.2,8.484,98.228
2004,6,8.923,98.258
2004,19.96,5.443,95.24
2004,0.75,9.97,76.27
1886,0,5.5,95.3
2004,12,10.782083,79.851611
2004,23.51,5.461,95.245
2006,0.06,5.826,95.347
2004,27.28,5.459,95.246
2004,1.75,2.549,96.335
2004,3,2.55,96.33
2004,21.65,5.445,95.242
2004,0.3,2.575,96.269
2004,30.4,5.452,95.242
2004,24.35,5.449,95.242
2004,15.77,5.452,95.243
2004,25.05,5.456,95.245
2004,20.07,5.45,95.243
2004,19.6,9.028,98.257
2004,5.48,5.553,95.315
2004,5.52,5.553,95.315
2004,12.6,8.999,98.257
2004,5.35,5.553,95.315
2004,20.1,5.67,95.1296
2004,4,2.558,96.308
2004,5.96,5.549,95.311
2004,1.9,2.565,96.288
2004,10.7,5.602,95.14
2004,6.47,5.55,95.31
2004,2,2.557,96.301
2004,2.5,4.96653,97.77177
2004,6.2,5.549,95.311
2010,0.16,-12.117,96.883
2004,0,10.43279,76.22622
2004,21.7,5.499,95.226
2004,0,8.078,77.541
2004,23.1,5.464,95.247
2004,4.7,5.2611,96.18528
2005,3.05,2.09046,97.09753
2004,2.31,1.933,73.552
2004,24.5,5.445,95.243
2004,4.26,6.323317,80.03091
2004,2.71,1.932,73.551
2005,2.6,2.10597,97.27027
2004,25.2,5.315,95.24
2004,5.05,6.1661,80.08908
2005,1.3,2.06118,97.33074
2004,2.1,1.923,73.55
2004,25.5,5.283,95.247
2004,3.48,6.877667,79.8564
2004,2.41,1.921,73.549
2005,3,2.10617,97.27018
2004,4.24,6.715483,79.90334
2004,2.08,1.898,73.537
2005,2.5,2.10623,97.27077
2004,3.47,6.689667,79.91306
2005,0.1,2.12939,97.2623
2004,1.4,1.876,73.526
2004,4.15,6.689667,79.91306
2004,1.28,1.858,73.519
2005,2.5,2.12968,97.2621
2004,3.87,6.60845,79.948
1852,0,1.5,98
2005,2.3,2.26925,97.81042
2004,3.82,6.60845,79.948
2005,2,2.094,96.61582
1949,0,5,95
1861,0,1,97.5
2005,2.3,2.094,96.61582
1967,0,5.5,97.3
1883,3.6,6.12,81.1167
1881,0,8.52,92.43
2005,3.3,2.38517,96.33547
1955,0,6.5,94
2005,4.2,2.39177,96.33286
1922,0,5.5,95.2
2004,2.4,5.94005,80.49195
2005,1.7,2.63815,95.80393
2004,2.73,5.968984,80.44682
1936,0,6.1,94.7
